exercise,muscle_group, muscle_group2
1-armed cable pulls,upper back,
bent over dumbbell pulls,upper back,
bulgarian squats,quads,
cable side leg raises,outer quads,?
close grip pull ups,upper back,?
dumbbell calf raises,calves,
dumbbell curls,biceps,
dumbbell presses,chest,
dumbbell rdls,hamstrings,back
hamstring curls,hamstrings,
hanging crunches,core,
hanging leg raises,core,
jackknives,core,
jumping lunges,quads,
lat pulldowns,upper back,
one-armed lat pulldowns,upper back,
pull ups,upper back,
reverse dumbbell lunges,quads,
rotator cuff rotations,shoulders,
russian twists,core,
seated landmines,core,
seated leg extensions,quads,
standing cable core rotations,core,
superman holds,lower back,
tricep cable pulldowns,triceps,
warmup-incline treadmill,,
warmup-treadmill,,
close grip pullups,upper back,
deltoid cable raises,deltoids,
side step squats,quads,
tricep cable extensions,triceps,
